                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.4817,                0.93338,                0.99406,                0.80263,                0.65989,                0.73759,                0.35573,                 1.7649,                 1.0801,                 1.1165,               0.001981,               0.001981,               0.001981
                     84,                  1.479,                0.93016,                 0.9961,                0.79986,                0.66184,                0.73875,                0.35642,                 1.7644,                 1.0792,                 1.1166,               0.001882,               0.001882,               0.001882
                     85,                 1.4688,                0.92673,                0.99501,                0.80035,                0.66204,                0.74083,                0.35679,                 1.7656,                 1.0781,                 1.1169,               0.001783,               0.001783,               0.001783
                     86,                 1.4555,                0.91305,                0.99437,                0.78679,                0.66914,                0.74182,                0.35772,                 1.7651,                 1.0745,                 1.1166,               0.001684,               0.001684,               0.001684
                     87,                 1.4613,                0.91342,                0.99164,                0.78561,                0.66894,                  0.742,                0.35783,                 1.7648,                 1.0736,                 1.1163,               0.001585,               0.001585,               0.001585
                     88,                 1.4454,                0.90333,                0.98872,                 0.7839,                0.66966,                0.74168,                0.35797,                 1.7652,                 1.0721,                 1.1164,               0.001486,               0.001486,               0.001486
                     89,                 1.4423,                0.90034,                0.98493,                0.78245,                0.67333,                0.74217,                0.35795,                 1.7657,                 1.0715,                 1.1169,               0.001387,               0.001387,               0.001387
                     90,                 1.4356,                0.89556,                0.98108,                0.78414,                0.67236,                0.74222,                0.35866,                 1.7655,                 1.0711,                  1.117,               0.001288,               0.001288,               0.001288
                     91,                   1.39,                0.81932,                0.99498,                0.79163,                0.66636,                0.74274,                0.35902,                  1.765,                 1.0688,                  1.117,               0.001189,               0.001189,               0.001189
                     92,                 1.3639,                0.79834,                0.98668,                0.78924,                0.66844,                0.74285,                0.35904,                 1.7654,                 1.0655,                 1.1173,                0.00109,                0.00109,                0.00109
                     93,                 1.3495,                0.78785,                0.98271,                0.79778,                0.66469,                0.74262,                0.36005,                 1.7654,                 1.0648,                 1.1173,               0.000991,               0.000991,               0.000991
                     94,                 1.3284,                0.77643,                0.97739,                0.79867,                0.66127,                0.74076,                0.35975,                 1.7648,                 1.0623,                 1.1178,               0.000892,               0.000892,               0.000892
                     95,                 1.3248,                0.77227,                0.97495,                0.79944,                0.66107,                 0.7405,                0.35978,                 1.7649,                 1.0607,                 1.1182,               0.000793,               0.000793,               0.000793
                     96,                 1.3131,                0.76539,                0.97386,                0.80435,                0.65877,                 0.7408,                0.36026,                 1.7654,                 1.0588,                 1.1185,               0.000694,               0.000694,               0.000694
                     97,                 1.3047,                0.75799,                0.97447,                0.81623,                0.65315,                0.74189,                0.36041,                 1.7658,                 1.0566,                 1.1188,               0.000595,               0.000595,               0.000595
                     98,                  1.292,                0.75198,                0.96698,                0.80888,                0.65533,                0.74261,                0.36036,                 1.7659,                 1.0552,                 1.1192,               0.000496,               0.000496,               0.000496
                     99,                 1.2837,                0.74656,                0.96372,                0.80253,                0.65911,                0.74186,                0.36076,                 1.7665,                 1.0537,                 1.1193,               0.000397,               0.000397,               0.000397
                    100,                 1.2798,                0.73972,                0.96049,                0.79727,                0.66248,                0.74252,                0.36161,                 1.7659,                 1.0519,                 1.1195,               0.000298,               0.000298,               0.000298
