                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 1.6469,                 1.1077,                 1.0525,                0.79988,                0.67726,                0.75725,                0.36571,                 1.7291,                 1.0753,                 1.1061,              0.0091684,              0.0091684,              0.0091684
                     87,                 1.6493,                  1.122,                 1.0471,                0.80046,                  0.679,                0.75667,                0.36675,                 1.7279,                 1.0741,                 1.1059,              0.0091585,              0.0091585,              0.0091585
                     88,                  1.645,                 1.1156,                 1.0503,                0.80266,                0.67941,                0.75641,                0.36647,                 1.7275,                  1.073,                  1.106,              0.0091486,              0.0091486,              0.0091486
                     89,                 1.6474,                 1.1107,                 1.0469,                0.80472,                0.67749,                0.75612,                0.36667,                 1.7272,                 1.0708,                 1.1062,              0.0091387,              0.0091387,              0.0091387
                     90,                 1.6406,                 1.0985,                 1.0438,                0.80683,                 0.6772,                0.75725,                0.36737,                 1.7263,                 1.0688,                  1.106,              0.0091288,              0.0091288,              0.0091288
                     91,                 1.6463,                  1.106,                  1.049,                 0.8166,                0.67123,                0.75793,                0.36793,                 1.7267,                  1.068,                 1.1063,              0.0091189,              0.0091189,              0.0091189
                     92,                 1.6351,                 1.1005,                 1.0493,                0.82744,                0.67069,                0.75856,                0.36743,                 1.7264,                 1.0668,                 1.1064,               0.009109,               0.009109,               0.009109
                     93,                 1.6308,                 1.0916,                 1.0418,                 0.8124,                0.67546,                0.75829,                0.36651,                 1.7266,                 1.0657,                 1.1062,              0.0090991,              0.0090991,              0.0090991
                     94,                 1.6464,                 1.1012,                 1.0441,                0.79819,                0.68726,                0.75951,                0.36741,                  1.727,                 1.0655,                 1.1065,              0.0090892,              0.0090892,              0.0090892
                     95,                 1.6258,                 1.0841,                 1.0392,                0.79296,                0.68863,                0.75715,                0.36694,                 1.7269,                 1.0656,                 1.1069,              0.0090793,              0.0090793,              0.0090793
                     96,                 1.6336,                  1.086,                 1.0433,                0.79576,                0.69058,                0.75969,                0.36841,                 1.7264,                 1.0649,                  1.107,              0.0090694,              0.0090694,              0.0090694
                     97,                  1.628,                  1.083,                 1.0464,                0.79994,                0.68806,                0.76008,                0.36754,                 1.7269,                 1.0649,                 1.1077,              0.0090595,              0.0090595,              0.0090595
                     98,                 1.6194,                 1.0759,                 1.0393,                0.80098,                0.68877,                0.76026,                0.36816,                 1.7269,                 1.0642,                  1.108,              0.0090496,              0.0090496,              0.0090496
                     99,                 1.6213,                 1.0701,                 1.0394,                 0.8028,                0.68844,                0.76004,                0.36855,                 1.7271,                  1.062,                 1.1082,              0.0090397,              0.0090397,              0.0090397
                    100,                 1.6168,                 1.0709,                 1.0414,                0.80245,                0.68692,                0.75923,                0.36839,                 1.7279,                 1.0613,                 1.1084,              0.0090298,              0.0090298,              0.0090298
                    101,                 1.6182,                 1.0753,                 1.0376,                0.80303,                0.68788,                0.75983,                0.36865,                 1.7272,                 1.0609,                 1.1087,              0.0090199,              0.0090199,              0.0090199
                    102,                 1.6124,                 1.0693,                 1.0358,                0.80256,                0.68753,                0.75966,                0.36887,                 1.7279,                 1.0599,                  1.109,                0.00901,                0.00901,                0.00901
                    103,                 1.6143,                 1.0662,                 1.0364,                0.79994,                0.68787,                0.75919,                0.36829,                  1.728,                 1.0586,                 1.1093,              0.0090001,              0.0090001,              0.0090001
                    104,                 1.5992,                  1.056,                 1.0364,                 0.7947,                0.68524,                0.75783,                0.36805,                 1.7289,                  1.058,                 1.1095,              0.0089902,              0.0089902,              0.0089902
                    105,                 1.6025,                 1.0575,                 1.0365,                0.80054,                0.68477,                0.75807,                0.36759,                 1.7288,                 1.0574,                 1.1098,              0.0089803,              0.0089803,              0.0089803
                    106,                 1.6062,                 1.0611,                 1.0382,                0.79909,                0.68474,                0.75799,                0.36883,                 1.7284,                 1.0566,                 1.1098,              0.0089704,              0.0089704,              0.0089704
                    107,                 1.6041,                 1.0548,                 1.0384,                0.79651,                 0.6837,                0.75782,                0.36858,                 1.7287,                 1.0546,                 1.1105,              0.0089605,              0.0089605,              0.0089605
                    108,                 1.5992,                  1.047,                 1.0337,                 0.7957,                0.68305,                 0.7581,                0.36879,                 1.7285,                  1.055,                 1.1108,              0.0089506,              0.0089506,              0.0089506
                    109,                  1.598,                  1.052,                 1.0345,                 0.7943,                0.68383,                0.75789,                0.36748,                  1.729,                 1.0533,                 1.1109,              0.0089407,              0.0089407,              0.0089407
                    110,                 1.5963,                 1.0472,                  1.031,                0.78823,                0.68965,                0.75949,                 0.3677,                 1.7295,                 1.0519,                 1.1112,              0.0089308,              0.0089308,              0.0089308
                    111,                 1.6025,                  1.048,                 1.0337,                0.79123,                0.68982,                0.76023,                0.36809,                 1.7299,                 1.0516,                 1.1115,              0.0089209,              0.0089209,              0.0089209
                    112,                 1.5894,                 1.0379,                 1.0307,                0.78957,                   0.69,                0.76006,                0.36841,                 1.7303,                  1.051,                 1.1117,               0.008911,               0.008911,               0.008911
                    113,                 1.6041,                 1.0515,                  1.035,                0.79072,                0.68802,                0.75873,                0.36793,                 1.7297,                 1.0504,                 1.1119,              0.0089011,              0.0089011,              0.0089011
                    114,                  1.597,                 1.0461,                 1.0276,                0.79345,                0.68723,                0.75889,                0.36818,                 1.7293,                 1.0487,                 1.1115,              0.0088912,              0.0088912,              0.0088912
